name,Source path,Destination path
"שו""ת מהרש""ם חלק א",שו״ת,שו״ת/אחרונים/שות מהרשם
"שו""ת מהרש""ם חלק ב",שו״ת/אחרונים,שו״ת/אחרונים/שות מהרשם
"שו""ת מהרש""ם חלק ג",שו״ת,שו״ת/אחרונים/שות מהרשם
גן נעול (אבולעפיה),קבלה,קבלה/כתבי רבי אברהם אבולעפיא
אגרת וזאת ליהודה,קבלה,קבלה/כתבי רבי אברהם אבולעפיא
גט השמות,קבלה,קבלה/כתבי רבי אברהם אבולעפיא
אור השכל,קבלה,קבלה/כתבי רבי אברהם אבולעפיא
ספר החשק,קבלה,קבלה/כתבי רבי אברהם אבולעפיא
שולחן ערוך הרב,הלכה/שולחן ערוך הרב,הלכה/אחרונים/שולחן ערוך הרב
קונטרס אחרון על שולחן ערוך הרב,הלכה/שולחן ערוך הרב,הלכה/אחרונים/שולחן ערוך הרב
פסקי הסידור,הלכה/שולחן ערוך הרב,הלכה/אחרונים/שולחן ערוך הרב
הלכות תלמוד תורה,הלכה/שולחן ערוך הרב,הלכה/אחרונים/שולחן ערוך הרב
סדר ברכת הנהנין,הלכה/שולחן ערוך הרב,הלכה/אחרונים/שולחן ערוך הרב
ילקוט שמעוני על התורה,מדרש/אגדה,מדרש/אגדה/ילקוט שמעוני
"ילקוט שמעוני על נ""ך",מדרש/אגדה,מדרש/אגדה/ילקוט שמעוני
תנא דבי אליהו רבה,מדרש/אגדה,מדרש/אגדה/תנא דבי אליהו
תנא דבי אליהו זוטא,מדרש/אגדה,מדרש/אגדה/תנא דבי אליהו
